Number: 22		Amount: 4
Number: 46		Amount: 2
Number: 47		Amount: 1
Number: 51		Amount: 3
Number: 71		Amount: 1
Number: 77		Amount: 1
Number: 79		Amount: 2
Number: 80		Amount: 1
Number: 91		Amount: 1
Number: 97		Amount: 1
Number: 99		Amount: 1
Number: 103		Amount: 1
Number: 119		Amount: 2
Number: 146		Amount: 1
Number: 147		Amount: 1
Number: 154		Amount: 1
Number: 162		Amount: 2
Number: 168		Amount: 1
Number: 193		Amount: 1
Number: 198		Amount: 1
Number: 225		Amount: 1
Number: 250		Amount: 1
Number: 251		Amount: 1
Number: 255		Amount: 1
Number: 269		Amount: 1
Number: 288		Amount: 1
Number: 317		Amount: 1
Number: 354		Amount: 1
Number: 355		Amount: 1
Number: 359		Amount: 1
Number: 361		Amount: 1
Number: 362		Amount: 1
Number: 382		Amount: 1
Number: 384		Amount: 1
Number: 414		Amount: 1
Number: 429		Amount: 1
Number: 447		Amount: 1
Number: 450		Amount: 1
Number: 498		Amount: 1
Number: 503		Amount: 1
Number: 529		Amount: 1
Number: 535		Amount: 1
Number: 548		Amount: 1
Number: 553		Amount: 1
Number: 566		Amount: 1
Number: 569		Amount: 1
Number: 571		Amount: 1
Number: 587		Amount: 1
Number: 589		Amount: 1
Number: 607		Amount: 2
Number: 612		Amount: 2
Number: 613		Amount: 1
Number: 615		Amount: 1
Number: 636		Amount: 1
Number: 642		Amount: 1
Number: 657		Amount: 1
Number: 660		Amount: 1
Number: 676		Amount: 1
Number: 685		Amount: 1
Number: 687		Amount: 1
Number: 688		Amount: 1
Number: 694		Amount: 1
Number: 702		Amount: 1
Number: 707		Amount: 1
Number: 736		Amount: 1
Number: 738		Amount: 1
Number: 763		Amount: 1
Number: 768		Amount: 1
Number: 775		Amount: 1
Number: 777		Amount: 1
Number: 782		Amount: 1
Number: 784		Amount: 1
Number: 813		Amount: 1
Number: 817		Amount: 1
Number: 820		Amount: 1
Number: 821		Amount: 1
Number: 824		Amount: 1
Number: 832		Amount: 1
Number: 834		Amount: 1
Number: 858		Amount: 1
Number: 878		Amount: 1
Number: 879		Amount: 1
Number: 880		Amount: 1
Number: 923		Amount: 1
Number: 928		Amount: 1
Number: 945		Amount: 1
Number: 976		Amount: 1
Number: 984		Amount: 1
Number: 999		Amount: 1
Moda: 22		Frequncy: 4
Mediana: 532.0
Dispertion: 89012.62359999998
Average square: 298.3498342550235
