10,  12,  14,  14,  15,  16,  16,  19,  19,  22,  22,  22,  22,  22,  25,  25,  25,  26,  28,  31,  35,  35,  35,  36,  36,  38,  38,  41,  42,  44,  45,  46,  46,  47,  49,  50,  51,  51,  51,  52,  53,  54,  55,  56,  56,  57,  58,  58,  60,  60,  61,  61,  61,  61,  63,  64,  65,  66,  67,  68,  68,  68,  69,  70,  70,  71,  73,  73,  76,  76,  77,  77,  77,  78,  78,  79,  79,  80,  81,  81,  82,  82,  82,  83,  83,  85,  87,  87,  88,  91,  92,  92,  94,  97,  97,  98,  99,  99,  100,  100,  
q1:			36.5
q3:			78.75
p90:		91.9
Average:	57.96
Dispercian:		639.1094949494951
Average square:	25.281
89.297,  89.535,  89.773,  89.773,  89.892,  90.011,  90.011,  90.368,  90.368,  90.725,  90.725,  90.725,  90.725,  90.725,  91.082,  91.082,  91.082,  91.201,  91.439,  91.796,  92.272,  92.272,  92.272,  92.391,  92.391,  92.629,  92.629,  92.986,  93.105,  93.343,  93.462,  93.581,  93.581,  93.7,  93.938,  94.057,  94.176,  94.176,  94.176,  94.295,  94.414,  94.533,  94.652,  94.771,  94.771,  94.89,  95.009,  95.009,  95.247,  95.247,  95.366,  95.366,  95.366,  95.366,  95.604,  95.723,  95.842,  95.961,  96.08,  96.199,  96.199,  96.199,  96.318,  96.437,  96.437,  96.556,  96.794,  96.794,  97.151,  97.151,  97.27,  97.27,  97.27,  97.389,  97.389,  97.508,  97.508,  97.627,  97.746,  97.746,  97.865,  97.865,  97.865,  97.984,  97.984,  98.222,  98.46,  98.46,  98.579,  98.936,  99.055,  99.055,  99.293,  99.65,  99.65,  99.769,  99.888,  99.888,  100.007,  100.007,  
Diagrama Stem-Leaf:
0	|  
1	|  0,  2,  4,  4,  5,  6,  6,  9,  9,  
2	|  2,  2,  2,  2,  2,  5,  5,  5,  6,  8,  
3	|  1,  5,  5,  5,  6,  6,  8,  8,  
4	|  1,  2,  4,  5,  6,  6,  7,  9,  
5	|  0,  1,  1,  1,  2,  3,  4,  5,  6,  6,  7,  8,  8,  
6	|  0,  0,  1,  1,  1,  1,  3,  4,  5,  6,  7,  8,  8,  8,  9,  
7	|  0,  0,  1,  3,  3,  6,  6,  7,  7,  7,  8,  8,  9,  9,  
8	|  0,  1,  1,  2,  2,  2,  3,  3,  5,  7,  7,  8,  
9	|  1,  2,  2,  4,  7,  7,  8,  9,  9,  
10	|  0,  0,  
