№	| Result						 | Calculations		 | Deviation
1.	| 0.05120000000000002			 | 0.051			 | 0.00010000000000002368
2.	| [0.4096, 0.7372800000000002]	 | [0.4096, 0.73728] | 1.1102230246251565e-16
3.	| 0.04986778505017909			 | 0.0498			 | 0.000867785050179086
4.	| 0.036141767437943215			 | 0.0375			 | -0.001358232562056784
5.	| 0.6824093685675713			 | 0.6826			 | -0.0005906314324287676
6.	| 4.04							 | 4				 | 0.040000000000000036
7.	| 0.778380752502656				 | 0.7881			 | -0.010619247497343998
8.	| 0.007978845608028654			 | 0.007978			 | -1.1543919713457446e-06
9.	| 0.029628452679173335			 | 0.0361			 | -0.006471547320826665
10.	| 4								 | 4				 | 0
